lvl;url;name
1;https://www.livelib.ru/genre/Мистика;Мистика;2366
1;https://www.livelib.ru/genre/Ужасы;Ужасы;1152
0;https://www.livelib.ru/genre/Публицистическая-литература;Публицистическая литература;155218
1;https://www.livelib.ru/genre/Афоризмы-и-цитаты;Афоризмы и цитаты;2134
1;https://www.livelib.ru/genre/Биографии-и-мемуары;Биографии и мемуары;81849
1;https://www.livelib.ru/genre/Военное-дело-спецслужбы;Военное дело, спецслужбы;19338
1;https://www.livelib.ru/genre/Документальная-литература;Документальная литература;30023
1;https://www.livelib.ru/genre/Зарубежная-публицистика;Зарубежная публицистика;1152
1;https://www.livelib.ru/genre/Интервью;Интервью;34
1;https://www.livelib.ru/genre/Публицистика;Публицистика;9982
1;https://www.livelib.ru/genre/Рецензии;Рецензии;5
1;https://www.livelib.ru/genre/Статьи;Статьи;844
1;https://www.livelib.ru/genre/Отечественные-мемуары;Отечественные мемуары;2237
0;https://www.livelib.ru/genre/Книги-для-подростков;Книги для подростков;6956
0;https://www.livelib.ru/genre/Любовные-романы;Любовные романы;82031
1;https://www.livelib.ru/genre/Зарубежные-любовные-романы;Зарубежные любовные романы;22575
1;https://www.livelib.ru/genre/Исторические-любовные-романы;Исторические любовные романы;4883
1;https://www.livelib.ru/genre/Короткие-любовные-романы;Короткие любовные романы;11047
1;https://www.livelib.ru/genre/Любовно-фантастические-романы;Любовно-фантастические романы;2988
1;https://www.livelib.ru/genre/Остросюжетные-любовные-романы;Остросюжетные любовные романы;5333
1;https://www.livelib.ru/genre/Современные-любовные-романы;Современные любовные романы;35628
1;https://www.livelib.ru/genre/Эротические-романы;Эротические романы;1396
1;https://www.livelib.ru/genre/Отечественные-любовные-романы;Отечественные любовные романы;3689
0;https://www.livelib.ru/genre/Боевики-остросюжетная-литература;Боевики, остросюжетная литература;24524
1;https://www.livelib.ru/genre/Боевая-фантастика;Боевая фантастика;7285
1;https://www.livelib.ru/genre/Боевики;Боевики;2696
1;https://www.livelib.ru/genre/Вестерны;Вестерны;2413
1;https://www.livelib.ru/genre/Зарубежные-боевики;Зарубежные боевики;8
1;https://www.livelib.ru/genre/Криминальные-боевики;Криминальные боевики;1517
1;https://www.livelib.ru/genre/Триллеры;Триллеры;8776
1;https://www.livelib.ru/genre/Отечественный-боевик;Отечественный боевик;1104
0;https://www.livelib.ru/genre/Книги-по-психологии;Книги по психологии;41942
1;https://www.livelib.ru/genre/Возрастная-психология;Возрастная психология;548
1;https://www.livelib.ru/genre/Детская-психология;Детская психология;1794
1;https://www.livelib.ru/genre/Зарубежная-психология;Зарубежная психология;1132
1;https://www.livelib.ru/genre/История-психологии;История психологии;177
1;https://www.livelib.ru/genre/Классики-психологии;Классики психологии;3848
1;https://www.livelib.ru/genre/Общая-психология;Общая психология;12938
1;https://www.livelib.ru/genre/Основы-психологии;Основы психологии;1560
1;https://www.livelib.ru/genre/Отраслевая-психология;Отраслевая психология;2065
1;https://www.livelib.ru/genre/Практическая-психология;Практическая психология;9000
2;https://www.livelib.ru/genre/Клиническая-психология;Клиническая психология;6
2;https://www.livelib.ru/genre/Нлп;НЛП;57
2;https://www.livelib.ru/genre/Психоанализ;Психоанализ;807
2;https://www.livelib.ru/genre/Психологическая-консультация;Психологическая консультация;137
2;https://www.livelib.ru/genre/Психологическая-практика;Психологическая практика;474
2;https://www.livelib.ru/genre/Психологические-тренинги;Психологические тренинги;11
2;https://www.livelib.ru/genre/Психотерапия;Психотерапия;1795
1;https://www.livelib.ru/genre/Прикладная-психология;Прикладная психология;6345
2;https://www.livelib.ru/genre/Нейропсихология;Нейропсихология;133
2;https://www.livelib.ru/genre/О-психологии-популярно;О психологии популярно;6174
2;https://www.livelib.ru/genre/Статистика-в-психологии;Статистика в психологии;4
2;https://www.livelib.ru/genre/Учебники-по-психологии;Учебники по психологии;5
1;https://www.livelib.ru/genre/Психология-управления;Психология управления;1159
1;https://www.livelib.ru/genre/Саморазвитие-личностный-рост;Саморазвитие, личностный рост;4223
1;https://www.livelib.ru/genre/Семья-брак-сексология;Семья, брак, сексология;2315
1;https://www.livelib.ru/genre/Состояния-и-явления-психики;Состояния и явления психики;5
1;https://www.livelib.ru/genre/Социальная-психология;Социальная психология;2078
1;https://www.livelib.ru/genre/Соционика;Соционика;63
0;https://www.livelib.ru/genre/Повести-рассказы;Повести, рассказы;36381
1;https://www.livelib.ru/genre/Очерки;Очерки;1107
1;https://www.livelib.ru/genre/Повести;Повести;2317
1;https://www.livelib.ru/genre/Рассказы;Рассказы;19808
1;https://www.livelib.ru/genre/Фанфик;Фанфик;219
1;https://www.livelib.ru/genre/Эссе;Эссе;2446
1;https://www.livelib.ru/genre/Сборники;Сборники;8696
0;https://www.livelib.ru/genre/Поэзия-и-драматургия;Поэзия и драматургия;77257
1;https://www.livelib.ru/genre/Поэзия;Поэзия;57583
1;https://www.livelib.ru/genre/Зарубежная-драматургия;Зарубежная драматургия;3312
1;https://www.livelib.ru/genre/Зарубежная-поэзия;Зарубежная поэзия;3499
1;https://www.livelib.ru/genre/Драматургия;Драматургия;1101
1;https://www.livelib.ru/genre/Отечественная-поэзия;Отечественная поэзия;6917
1;https://www.livelib.ru/genre/Отечественная-драматургия;Отечественная драматургия;1884
0;https://www.livelib.ru/genre/Наука-и-образование;Наука и образование;908701
1;https://www.livelib.ru/genre/Военное-дело;Военное дело;152
1;https://www.livelib.ru/genre/Гуманитарные-и-общественные-науки;Гуманитарные и общественные науки;533111
2;https://www.livelib.ru/genre/Иностранные-языки;Иностранные языки;34823
3;https://www.livelib.ru/genre/Английский-язык;Английский язык;19021
3;https://www.livelib.ru/genre/Иностранные-языки;Иностранные языки;34823
3;https://www.livelib.ru/genre/Испанский-язык;Испанский язык;1525
3;https://www.livelib.ru/genre/Итальянский-язык;Итальянский язык;484
3;https://www.livelib.ru/genre/Немецкий-язык;Немецкий язык;4106
3;https://www.livelib.ru/genre/Польский-язык;Польский язык;126
3;https://www.livelib.ru/genre/Русский-язык-как-иностранный;Русский язык как иностранный;2575
3;https://www.livelib.ru/genre/Французский-язык;Французский язык;2867
2;https://www.livelib.ru/genre/История;История;85483
3;https://www.livelib.ru/genre/Археология;Археология;1483
3;https://www.livelib.ru/genre/Всемирная-история;Всемирная история;24425
3;https://www.livelib.ru/genre/История-древнего-мира;История Древнего мира;2000
3;https://www.livelib.ru/genre/История-россии;История России;28714
3;https://www.livelib.ru/genre/История-средних-веков;История Средних веков;1229
3;https://www.livelib.ru/genre/Источниковедение;Источниковедение;2395
3;https://www.livelib.ru/genre/Новейшая-история;Новейшая история;616
3;https://www.livelib.ru/genre/Новое-время;Новое время;769
3;https://www.livelib.ru/genre/Общая-история;Общая история;495
3;https://www.livelib.ru/genre/Первобытное-общество;Первобытное общество;70
3;https://www.livelib.ru/genre/Этнография;Этнография;4633
2;https://www.livelib.ru/genre/Книги-по-психологии;Книги по психологии;41942
3;https://www.livelib.ru/genre/Возрастная-психология;Возрастная психология;548
3;https://www.livelib.ru/genre/Детская-психология;Детская психология;1794
3;https://www.livelib.ru/genre/Зарубежная-психология;Зарубежная психология;1132
3;https://www.livelib.ru/genre/История-психологии;История психологии;177
3;https://www.livelib.ru/genre/Классики-психологии;Классики психологии;3848
3;https://www.livelib.ru/genre/Общая-психология;Общая психология;12938
3;https://www.livelib.ru/genre/Основы-психологии;Основы психологии;1560
3;https://www.livelib.ru/genre/Отраслевая-психология;Отраслевая психология;2065
3;https://www.livelib.ru/genre/Практическая-психология;Практическая психология;9000
4;https://www.livelib.ru/genre/Клиническая-психология;Клиническая психология;6
4;https://www.livelib.ru/genre/Нлп;НЛП;57
4;https://www.livelib.ru/genre/Психоанализ;Психоанализ;807
4;https://www.livelib.ru/genre/Психологическая-консультация;Психологическая консультация;137
4;https://www.livelib.ru/genre/Психологическая-практика;Психологическая практика;474
4;https://www.livelib.ru/genre/Психологические-тренинги;Психологические тренинги;11
4;https://www.livelib.ru/genre/Психотерапия;Психотерапия;1795
3;https://www.livelib.ru/genre/Прикладная-психология;Прикладная психология;6345
4;https://www.livelib.ru/genre/Нейропсихология;Нейропсихология;133
4;https://www.livelib.ru/genre/О-психологии-популярно;О психологии популярно;6174
4;https://www.livelib.ru/genre/Статистика-в-психологии;Статистика в психологии;4
4;https://www.livelib.ru/genre/Учебники-по-психологии;Учебники по психологии;5
3;https://www.livelib.ru/genre/Психология-управления;Психология управления;1159
3;https://www.livelib.ru/genre/Саморазвитие-личностный-рост;Саморазвитие, личностный рост;4223
3;https://www.livelib.ru/genre/Семья-брак-сексология;Семья, брак, сексология;2315
3;https://www.livelib.ru/genre/Состояния-и-явления-психики;Состояния и явления психики;5
3;https://www.livelib.ru/genre/Социальная-психология;Социальная психология;2078
3;https://www.livelib.ru/genre/Соционика;Соционика;63
2;https://www.livelib.ru/genre/Культура-и-просвещение;Культура и просвещение;9395
3;https://www.livelib.ru/genre/Архивное-дело;Архивное дело;1
3;https://www.livelib.ru/genre/Библиография;Библиография;1638
3;https://www.livelib.ru/genre/Издательское-дело;Издательское дело;641
3;https://www.livelib.ru/genre/Музейное-дело;Музейное дело;364
3;https://www.livelib.ru/genre/Памятники-истории-и-культуры;Памятники истории и культуры;7
3;https://www.livelib.ru/genre/Сми;СМИ;4604
3;https://www.livelib.ru/genre/Физкультура-и-спорт;Физкультура и спорт;2457
2;https://www.livelib.ru/genre/Культурология;Культурология;30041
2;https://www.livelib.ru/genre/Педагогика;Педагогика;31348
2;https://www.livelib.ru/genre/Политика;Политика;39264
3;https://www.livelib.ru/genre/Внешняя-политика;Внешняя политика;135
3;https://www.livelib.ru/genre/Внутренняя-политика;Внутренняя политика;19
3;https://www.livelib.ru/genre/История-политических-учений;История политических учений;1
